feature,importance
学业潜力指数,0.13949874160804723
学习指数,0.08526249640048068
综合成绩,0.055410645999477384
综合发展指数,0.039195548676896654
成绩变化代理指数,0.03856709271613398
奖学金金额,0.01839999171095975
奖学金次数,0.015739612710751402
健康指数,0.01277362121951693
锻炼波动,0.011443680980028067
锻炼变异系数,0.011230805824036369
作业平均分,0.011121415509183774
体测分,0.011090634225839746
社交指数,0.010916740647663431
线上访问量均值,0.010706315552761553
专业,0.010037900474553956
锻炼均次,0.00972442785788668
跑步次数,0.00960968343967897
50米,0.009571763716120455
出生日期,0.009481985568442495
自律指数,0.009462742071611662
锻炼次数,0.009413448577930911
上网变异系数,0.009332286485740407
锻炼_体测比,0.009234089881006319
生活规律指数,0.00904891246941558
课堂作业分波动,0.009031917532418615
肺活量,0.009018163053303916
投入产出平衡指数,0.009015324275363239
竞赛次数,0.009010799913256021
视频学习时长波动,0.008974547208050779
考试分波动,0.008891539080448775
作业执行力指数,0.008843328246485113
学习稳定性指数,0.008763187188876755
高耗时低产出指数,0.008741140299463854
籍贯,0.008686478520405987
测验平均分,0.008602101993920305
视频学习时长均值,0.008595685171489861
坐位体前屈,0.008501546409150178
测验分波动,0.008497902108657501
线上积极性指数,0.008495214037578141
BMI,0.008464473933644473
跑步活跃天数,0.00844300232473206
拓展学习时长,0.00841830632411453
作业分数波动,0.008333160219865035
作业平均分_课堂任务,0.008276442908772
线上访问量,0.008274588446458443
考试平均分,0.008258379999456516
线上学习质量指数,0.008125374352064665
最近60天跑步次数,0.00798964102096581
学习持续性指数,0.007955262152980399
立定跳远,0.007891492442788686
耐力项目成绩,0.007822681619945045
学习娱乐平衡指数,0.0077881596104493215
上网_图书馆比,0.007688056400957632
最近90天跑步次数,0.007668004163237022
上网波动,0.0075620107125660635
视频学习时长,0.007557845968585209
上网_跑步比,0.007512018208468317
上网时长,0.007457988952150916
试卷参与次数,0.007404298613689204
运动学习平衡指数,0.0073920976038400615
风险指数,0.0071724829460869475
力量项目成绩,0.0071155788059948984
1000米,0.006961206596865425
月均上网时长,0.006836259946597168
最近30天跑步次数,0.006094372268481166
引体向上,0.006014379594925422
社团次数,0.005940788404231312
互评分次数,0.005239134293499755
作业完成率_显式,0.004956415835051277
作业提交次数,0.004909274516574866
作业完成次数,0.004852462177651142
学院,0.004804586329381049
作业完成_课堂任务比,0.0046762305188150265
讨论数,0.004533667051775486
线上互动率,0.0043091638003217815
回帖数,0.00398132077340628
社团活跃天数,0.003823635017915886
门禁次数,0.0029977914756537547
进门次数,0.002826236736122319
白天门禁次数,0.002470675620088801
图书馆进出平衡,0.0024092235801356373
锻炼周数,0.0022499975720487856
门禁活跃天数,0.0022056354257524785
问答参与次数,0.002181891438239809
800米,0.002181262711077947
图书馆_门禁活跃比,0.0020678395184311276
锻炼学期数,0.0020615254573432278
仰卧起坐,0.0019383204901778773
晚间到馆次数,0.0016385973746462714
图书馆活跃天数,0.0016350662843280124
民族,0.0016280732660281098
周末到馆次数,0.0015024699160768997
白天到馆次数,0.0014621948050320232
进馆次数,0.001437087599847887
出馆次数,0.0013192990015194364
周末门禁次数,0.0012432272819243781
图书馆次数,0.0010598119199124606
夜间占比,0.0006778410144330639
BMI偏高,0.0006768829943589131
政治面貌,0.0006735358021566904
BMI偏低,0.0006515083843313047
出入比,0.000540442783022721
性别,0.00040054059162761724
夜间活跃学习失衡指数,0.0003347941689632685
夜间次数,0.00033038839574856443
跑步学期数,0.000278476661564177
直播学习时长,0.00027657961830689326
出门次数,0.0001950778907598632
