model,accuracy,precision,recall,f1,auc,pr_auc,cv_auc
rf,0.8175965665236051,0.8529411764705882,0.9140401146131805,0.8824343015214384,0.8642029730854945,0.9468565263452866,0.8642029730854945
extratrees,0.8133047210300429,0.8521505376344086,0.9083094555873925,0.8793342579750347,0.8422844268116474,0.9345278952577867,0.8422844268116474
logistic,0.6974248927038627,0.8880597014925373,0.6819484240687679,0.7714748784440842,0.7760879680650454,0.8987247641507125,0.7760879680650454
