feature,importance
奖学金次数,0.1224
考试分波动,0.09119999999999998
竞赛次数,0.07239999999999999
考试平均分,0.061999999999999965
周末到馆次数,0.05400000000000003
线上访问量均值,0.04200000000000004
英语平均分,0.031200000000000026
线上访问量,0.029200000000000025
奖学金金额,0.024400000000000022
最近60天跑步次数,0.02280000000000002
性别,0.021200000000000017
学习稳定性指数,0.019600000000000017
最近90天跑步次数,0.018400000000000017
晚间到馆次数,0.016800000000000016
进馆次数,0.016400000000000015
跑步次数,0.014400000000000013
社交指数,0.014400000000000013
视频学习时长波动,0.012800000000000011
作业完成_课堂任务比,0.012400000000000012
体测分,0.01200000000000001
最近30天跑步次数,0.01200000000000001
自律指数,0.01120000000000001
作业完成率_显式,0.01080000000000001
英语成绩波动,0.010000000000000009
1000米,0.010000000000000009
作业平均分,0.009600000000000008
线上学习质量指数,0.009600000000000008
视频学习时长均值,0.009600000000000008
社团次数,0.009200000000000009
锻炼学期数,0.009200000000000009
锻炼次数,0.007600000000000007
上网波动,0.007600000000000007
英语成绩,0.006800000000000006
健康指数,0.006800000000000006
英语考试次数,0.006800000000000006
测验分波动,0.0064000000000000055
课堂作业分波动,0.0064000000000000055
锻炼_体测比,0.0064000000000000055
作业执行力指数,0.0064000000000000055
籍贯,0.0064000000000000055
拓展学习时长,0.006000000000000005
线上积极性指数,0.006000000000000005
高耗时低产出指数,0.005600000000000005
图书馆进出平衡,0.005200000000000005
试卷参与次数,0.005200000000000005
专业,0.005200000000000005
跑步学期数,0.005200000000000005
BMI偏高,0.005200000000000005
作业提交次数,0.004800000000000004
上网_图书馆比,0.004800000000000004
肺活量,0.004800000000000004
作业完成次数,0.004800000000000004
门禁活跃天数,0.004800000000000004
民族,0.004400000000000004
风险指数,0.004400000000000004
BMI,0.004400000000000004
作业分数波动,0.0040000000000000036
力量项目成绩,0.0036000000000000034
测验平均分,0.0032000000000000028
社团活跃天数,0.0032000000000000028
作业平均分_课堂任务,0.0032000000000000028
跑步活跃天数,0.0028000000000000026
上网_跑步比,0.0028000000000000026
白天到馆次数,0.002400000000000002
月均上网时长,0.0020000000000000018
仰卧起坐,0.0020000000000000018
线上互动率,0.0020000000000000018
回帖数,0.0016000000000000014
耐力项目成绩,0.0016000000000000014
讨论数,0.0016000000000000014
政治面貌,0.0016000000000000014
锻炼周数,0.001200000000000001
视频学习时长,0.001200000000000001
夜间活跃学习失衡指数,0.001200000000000001
锻炼均次,0.001200000000000001
锻炼波动,0.001200000000000001
运动学习平衡指数,0.0008000000000000007
出馆次数,0.0008000000000000007
周末门禁次数,0.00040000000000000034
图书馆次数,0.00040000000000000034
上网时长,0.00040000000000000034
白天门禁次数,0.00040000000000000034
生活规律指数,0.00040000000000000034
800米,0.00040000000000000034
问答参与次数,0.00040000000000000034
50米,0.0
夜间次数,0.0
学习持续性指数,0.0
图书馆活跃天数,0.0
互评分次数,-0.0008000000000000007
BMI偏低,-0.0008000000000000007
进门次数,-0.001200000000000001
坐位体前屈,-0.0016000000000000014
引体向上,-0.0020000000000000018
夜间占比,-0.0020000000000000018
门禁次数,-0.0028000000000000026
学院,-0.004400000000000004
立定跳远,-0.005600000000000005
