model,accuracy,precision,recall,f1,auc,pr_auc,cv_auc
rf,0.9813278008298755,0.9813278008298755,1.0,0.9905759162303664,0.9889593610523844,0.9997906762373012,0.9889593610523844
logistic,0.8921161825726142,1.0,0.8900634249471459,0.941834451901566,0.9847310312426591,0.999704545512128,0.9847310312426591
extratrees,0.9813278008298755,0.9813278008298755,1.0,0.9905759162303664,0.9814423302795395,0.9996410642093871,0.9814423302795395
