model,accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr
rf_calibrated,0.898,0.8985560182141379,0.8985145573380868,0.8984629317857479,0.5846122329528827
extratrees_calibrated,0.888,0.8888963354829968,0.8885323826500297,0.8885986125258033,0.5797672954301576
logistic,0.49,0.4894655994825774,0.492275698158051,0.47585100380583284,0.5647218453188602
