feature,importance
成绩变化代理指数,0.19960000000000006
奖学金次数,0.14920000000000003
奖学金金额,0.1332
竞赛次数,0.12480000000000002
社团次数,0.10480000000000005
性别,0.037600000000000036
运动学习平衡指数,0.01120000000000001
作业执行力指数,0.010000000000000009
力量项目成绩,0.010000000000000009
视频学习时长均值,0.009600000000000008
视频学习时长波动,0.009200000000000009
线上学习质量指数,0.009200000000000009
英语平均分,0.009200000000000009
测验平均分,0.008800000000000007
作业平均分_课堂任务,0.008800000000000007
仰卧起坐,0.008800000000000007
社团活跃天数,0.008400000000000008
视频学习时长,0.006800000000000006
锻炼_体测比,0.006800000000000006
测验分波动,0.006000000000000005
课堂作业分波动,0.006000000000000005
健康指数,0.005600000000000005
BMI偏高,0.005600000000000005
跑步活跃天数,0.005600000000000005
体测分,0.005600000000000005
高耗时低产出指数,0.005200000000000005
作业平均分,0.005200000000000005
线上访问量均值,0.005200000000000005
坐位体前屈,0.004800000000000004
考试平均分,0.004800000000000004
白天到馆次数,0.0040000000000000036
线上互动率,0.0040000000000000036
门禁次数,0.0036000000000000034
门禁活跃天数,0.0036000000000000034
学院,0.0036000000000000034
学习持续性指数,0.0036000000000000034
生活规律指数,0.0036000000000000034
图书馆活跃天数,0.0032000000000000028
周末到馆次数,0.0032000000000000028
引体向上,0.0028000000000000026
肺活量,0.002400000000000002
作业完成_课堂任务比,0.002400000000000002
自律指数,0.002400000000000002
跑步次数,0.0020000000000000018
作业完成率_显式,0.0020000000000000018
问答参与次数,0.0020000000000000018
图书馆次数,0.0020000000000000018
锻炼均次,0.0020000000000000018
最近90天跑步次数,0.0020000000000000018
耐力项目成绩,0.0016000000000000014
英语成绩波动,0.001200000000000001
上网时长,0.001200000000000001
试卷参与次数,0.001200000000000001
拓展学习时长,0.001200000000000001
上网_跑步比,0.001200000000000001
线上积极性指数,0.0008000000000000007
进馆次数,0.0008000000000000007
出馆次数,0.0008000000000000007
跑步学期数,0.0008000000000000007
作业分数波动,0.0008000000000000007
风险指数,0.0008000000000000007
学习稳定性指数,0.0008000000000000007
学习指数,0.0008000000000000007
上网_图书馆比,0.0008000000000000007
夜间占比,0.0008000000000000007
锻炼学期数,0.00040000000000000034
白天门禁次数,0.00040000000000000034
BMI偏低,0.00040000000000000034
锻炼波动,0.00040000000000000034
进门次数,0.00040000000000000034
线上访问量,0.00040000000000000034
籍贯,0.00040000000000000034
英语考试次数,0.0
图书馆进出平衡,0.0
上网波动,0.0
周末门禁次数,0.0
锻炼次数,-0.00040000000000000034
晚间到馆次数,-0.00040000000000000034
800米,-0.00040000000000000034
作业完成次数,-0.00040000000000000034
作业提交次数,-0.00040000000000000034
月均上网时长,-0.00040000000000000034
民族,-0.0008000000000000007
专业,-0.0008000000000000007
政治面貌,-0.0008000000000000007
立定跳远,-0.0008000000000000007
最近30天跑步次数,-0.0008000000000000007
英语成绩,-0.001200000000000001
1000米,-0.001200000000000001
最近60天跑步次数,-0.001200000000000001
50米,-0.0016000000000000014
讨论数,-0.0016000000000000014
回帖数,-0.0016000000000000014
夜间次数,-0.0020000000000000018
锻炼周数,-0.002400000000000002
考试分波动,-0.0028000000000000026
夜间活跃学习失衡指数,-0.0036000000000000034
BMI,-0.004800000000000004
互评分次数,-0.004800000000000004
