accuracy,macro_f1,macro_recall,macro_precision,macro_auc_ovr,model
0.868,0.8695165101151896,0.8681521093285799,0.8724053295932679,0.9699504261225069,logistic
0.812,0.8134518454078766,0.8125371360665478,0.8169691044722005,0.9361738544354875,rf
0.766,0.7660187187759723,0.7667855020796197,0.7696484853174995,0.9125822757868413,extratrees
