model,accuracy,macro_precision,macro_recall,macro_f1,macro_auc_ovr
rf_calibrated,0.918,0.9208254257775462,0.9182412358882948,0.9188869928733076,0.6162101258413814
extratrees_calibrated,0.886,0.8936261616731395,0.8860368389780154,0.8881503643366093,0.6184170945628364
logistic,0.654,0.6705124212318457,0.654367201426025,0.6596114292188494,0.6565383421573062
