accuracy,f1,recall,precision,auc,cv_auc,model
0.83,0.8626817447495961,0.8668831168831169,0.8585209003215434,0.9206405573593074,0.9363384499078828,rf
0.826,0.856198347107438,0.8409090909090909,0.8720538720538721,0.9092092803030303,0.9195839759760321,logistic
0.794,0.8336025848142165,0.8376623376623377,0.8295819935691319,0.8872598755411255,0.9073440214797914,extratrees
